index,country,province
252,US,Oregon
253,US,California
254,US,Oregon
255,Italy,Piedmont
256,US,California
257,US,California
258,Italy,Piedmont
259,Spain,Northern Spain
260,Spain,Central Spain
261,France,Loire Valley
262,US,California
263,US,California
264,Italy,Piedmont
265,France,Loire Valley
266,US,California
267,US,California
268,US,California
269,Argentina,Mendoza Province
270,France,Burgundy
271,France,Burgundy
272,US,California
273,US,California
274,US,California
275,US,California
276,Italy,Northeastern Italy
277,Portugal,Vinho Verde
278,Portugal,Douro
279,US,California
280,Italy,Veneto
281,Italy,Northeastern Italy
282,France,Southwest France
283,France,Bordeaux
284,US,California
285,US,California
286,France,Burgundy
287,France,Southwest France
288,France,Burgundy
289,US,Oregon
290,France,Burgundy
291,Portugal,Alentejano
292,US,Oregon
293,US,California
294,France,Southwest France
295,US,California
296,Italy,Northeastern Italy
297,Italy,Northeastern Italy
298,US,California
299,US,California
300,US,Washington
301,US,California
302,Italy,Veneto
303,US,California
304,US,California
305,New Zealand,Kumeu
306,US,Oregon
307,US,California
308,US,California
309,US,Oregon
310,US,California
311,Italy,Veneto
312,Italy,Veneto
313,US,California
314,US,Oregon
315,US,California
316,US,California
317,US,Oregon
318,France,Southwest France
319,US,Washington
320,France,Provence
321,Spain,Northern Spain
322,France,Provence
323,Spain,Northern Spain
324,US,California
325,France,Provence
326,Argentina,Mendoza Province
327,France,Provence
328,France,Southwest France
329,US,Oregon
330,Italy,Piedmont
331,Germany,Mosel
332,US,California
333,Spain,Galicia
334,US,California
335,Portugal,Alentejano
336,US,California
337,US,Oregon
338,US,California
339,Italy,Piedmont
340,Italy,Piedmont
341,US,California
342,Italy,Piedmont
343,US,California
344,Portugal,Alentejano
345,Portugal,Alentejano
346,US,California
347,US,California
348,Germany,Rheinhessen
349,Italy,Piedmont
350,US,California
351,US,Oregon
352,France,Champagne
353,Portugal,Alentejo
354,US,Oregon
355,Israel,Golan Heights
356,US,California
357,US,Oregon
358,Italy,Piedmont
359,Spain,Northern Spain
360,US,California
361,US,California
362,US,Oregon
363,France,Alsace
364,France,Burgundy
365,US,Oregon
366,Italy,Sicily & Sardinia
367,Germany,Württemberg
368,France,Alsace
369,France,Alsace
370,France,Alsace
371,US,Oregon
372,US,Oregon
373,France,Burgundy
374,Italy,Sicily & Sardinia
375,Italy,Sicily & Sardinia
376,US,Oregon
377,Italy,Southern Italy
378,Germany,Mosel
379,US,California
380,US,California
381,US,California
382,US,California
383,Spain,Northern Spain
384,Germany,Ahr
385,Spain,Central Spain
386,US,California
387,US,California
388,US,California
389,US,California
390,US,California
391,US,California
392,Italy,Tuscany
393,US,Washington
394,Canada,British Columbia
395,Spain,Galicia
396,France,Loire Valley
397,Italy,Tuscany
398,Italy,Tuscany
399,Moldova,Moldova
400,Italy,Tuscany
401,Italy,Tuscany
402,Italy,Tuscany
403,US,California
404,France,Rhône Valley
405,France,Rhône Valley
406,US,California
407,US,California
408,US,California
409,US,California
410,Spain,Spain Other
411,Hungary,Sopron
412,Italy,Tuscany
413,US,California
414,US,California
415,US,California
416,US,California
417,Italy,Tuscany
418,Italy,Tuscany
419,Italy,Tuscany
420,US,Washington
421,US,California
422,US,New York
423,US,Washington
424,Spain,Catalonia
425,Spain,Northern Spain
426,US,Washington
427,France,Bordeaux
428,US,California
429,US,California
430,US,Idaho
431,US,Washington
432,Italy,Tuscany
433,Italy,Tuscany
434,France,Bordeaux
435,US,California
436,US,Idaho
437,US,Idaho
438,Italy,Tuscany
439,Spain,Andalucia
440,Italy,Tuscany
441,US,Idaho
442,Spain,Northern Spain
443,Spain,Andalucia
444,Spain,Northern Spain
445,US,Idaho
446,Spain,Catalonia
447,Italy,Tuscany
448,Italy,Tuscany
449,Italy,Tuscany
450,Portugal,Douro
451,Italy,Veneto
452,US,California
453,US,California
454,Portugal,Tejo
455,Argentina,Other
456,US,California
457,Portugal,Douro
458,US,Washington
459,US,California
460,Argentina,Mendoza Province
461,South Africa,Walker Bay
462,US,California
463,US,California
464,US,Washington
465,US,California
466,France,Southwest France
467,Argentina,Mendoza Province
468,US,California
469,Argentina,Mendoza Province
470,US,California
471,Portugal,Alentejano
472,US,California
473,Portugal,Dão
474,US,California
475,US,California
476,France,Southwest France
477,US,California
478,Portugal,Tejo
479,Portugal,Douro
480,US,California
481,Greece,Nemea
482,France,Rhône Valley
483,Italy,Tuscany
484,France,Southwest France
485,France,Southwest France
486,Germany,Mosel
487,Italy,Italy Other
488,US,Oregon
489,US,California
490,Italy,Tuscany
491,France,Southwest France
492,US,Oregon
493,US,Oregon
494,US,California
495,Portugal,Duriense
496,US,California
497,Italy,Tuscany
498,Italy,Tuscany
499,Spain,Catalonia
500,France,Rhône Valley
501,US,California
502,Chile,Colchagua Valley
503,US,Oregon
504,US,California
505,US,Oregon
506,Spain,Galicia
507,Italy,Tuscany
508,Spain,Northern Spain
509,Spain,Catalonia
510,US,California
511,France,Alsace
512,Portugal,Douro
513,US,California
514,US,California
515,US,California
516,US,California
517,Canada,Ontario
518,US,California
519,Portugal,Douro
520,US,California
521,Portugal,Beiras
522,US,Washington
523,US,California
524,US,Washington
525,France,Alsace
526,France,Alsace
527,US,California
528,US,California
529,Hungary,Tokaji
530,Italy,Piedmont
531,US,California
532,Italy,Piedmont
533,France,Bordeaux
534,Portugal,Lisboa
535,France,Alsace
536,US,California
537,Chile,Colchagua Valley
538,US,Washington
539,US,California
540,US,California
541,US,California
542,Germany,Mosel
543,France,Burgundy
544,France,Burgundy
545,US,California
546,US,California
547,Germany,Mosel
548,US,California
549,Italy,Sicily & Sardinia
550,France,Burgundy
551,France,Alsace
552,France,Burgundy
553,France,Alsace
554,France,Alsace
555,US,Oregon
556,Italy,Sicily & Sardinia
557,US,California
558,Italy,Sicily & Sardinia
559,Greece,Santorini
560,US,Oregon
561,US,California
562,Italy,Sicily & Sardinia
563,US,California
564,Spain,Northern Spain
565,Spain,Northern Spain
566,US,California
567,Germany,Mosel
568,US,California
569,US,California
570,US,California
571,US,Oregon
572,France,Southwest France
573,US,California
574,US,California
575,US,California
576,Italy,Northeastern Italy
577,France,Southwest France
578,US,California
579,US,Oregon
580,France,Southwest France
581,US,California
582,Austria,Thermenregion
583,US,Washington
584,US,California
585,US,California
586,Spain,Northern Spain
587,Austria,Burgenland
588,Austria,Carnuntum
589,US,California
590,US,California
591,US,Oregon
592,US,California
593,US,California
594,US,California
595,Austria,Burgenland
596,US,California
597,US,California
598,Spain,Northern Spain
599,France,Provence
600,US,California
601,US,Oregon
602,US,California
603,Portugal,Douro
604,Italy,Northeastern Italy
605,US,California
606,Germany,Rheingau
607,Germany,Mosel
608,Germany,Rheingau
609,Germany,Nahe
610,Germany,Mosel
611,Italy,Northeastern Italy
612,US,Oregon
613,Portugal,Alentejano
614,US,California
615,France,Burgundy
616,US,California
617,US,California
618,US,California
619,Germany,Mosel
620,Germany,Mosel
621,Germany,Mosel
622,Germany,Mosel
623,Germany,Mosel
624,Germany,Mosel
625,US,California
626,Italy,Northeastern Italy
627,France,Bordeaux
628,Portugal,Dão
629,France,Burgundy
630,US,California
631,Australia,South Australia
632,Italy,Piedmont
633,Portugal,Douro
634,Italy,Piedmont
635,US,California
636,US,California
637,Italy,Piedmont
638,Italy,Piedmont
639,Italy,Piedmont
640,Italy,Piedmont
641,Spain,Galicia
642,US,California
643,France,Southwest France
644,Portugal,Douro
645,US,Oregon
646,US,California
647,France,Southwest France
648,France,Burgundy
649,Germany,Mosel
650,US,California
651,Italy,Piedmont
652,US,Oregon
653,Italy,Piedmont
654,US,Oregon
655,US,California
656,US,Oregon
657,Italy,Piedmont
658,Italy,Piedmont
659,Italy,Piedmont
660,Australia,Victoria
661,France,Loire Valley
662,Argentina,Mendoza Province
663,France,Loire Valley
664,US,California
665,US,California
666,France,Bordeaux
667,US,California
668,France,Loire Valley
669,Italy,Piedmont
670,US,California
671,US,California
672,France,Loire Valley
673,US,California
674,US,Oregon
675,US,California
676,Croatia,North Dalmatia
677,Italy,Piedmont
678,US,California
679,France,Bordeaux
680,France,Bordeaux
681,France,Bordeaux
682,France,Bordeaux
683,US,California
684,France,Bordeaux
685,US,Oregon
686,US,California
687,US,California
688,France,Loire Valley
689,Spain,Central Spain
690,US,California
691,Spain,Catalonia
692,Bulgaria,Thracian Valley
693,US,California
694,US,California
695,US,California
696,US,New York
697,US,New York
698,US,Washington
699,Italy,Tuscany
700,US,California
701,Italy,Tuscany
702,US,California
703,US,California
704,US,California
705,Canada,British Columbia
706,US,California
707,US,California
708,US,California
709,US,California
710,US,Washington
711,Slovenia,Goriska Brda
712,US,California
713,Italy,Tuscany
714,Canada,British Columbia
715,US,California
716,Spain,Andalucia
717,Italy,Tuscany
718,US,California
719,France,Rhône Valley
720,US,California
721,South Africa,Stellenbosch
722,Argentina,Mendoza Province
723,Argentina,Other
724,South Africa,Western Cape
725,US,California
726,France,Southwest France
727,France,Southwest France
728,US,California
729,France,Burgundy
730,Italy,Northeastern Italy
731,Portugal,Tejo
732,France,Southwest France
733,France,Southwest France
734,South Africa,Western Cape
735,US,California
736,US,California
737,Argentina,Mendoza Province
738,Italy,Veneto
739,Argentina,Mendoza Province
740,Portugal,Dão
741,South Africa,Overberg
742,Argentina,Mendoza Province
743,Spain,Northern Spain
744,South Africa,Robertson
745,France,Rhône Valley
746,Argentina,Mendoza Province
747,US,California
748,Bulgaria,Thracian Valley
749,Israel,Galilee
750,France,Southwest France
751,Spain,Catalonia
752,US,California
753,US,California
754,US,California
755,France,Southwest France
756,US,California
757,Italy,Tuscany
758,US,California
759,Italy,Tuscany
760,Chile,Maipo Valley
761,US,California
762,US,Oregon
763,US,Oregon
764,Chile,Casablanca Valley
765,Italy,Tuscany
766,Chile,Cachapoal Valley
767,US,Oregon
768,US,California
769,Italy,Tuscany
770,Chile,Colchagua Valley
771,US,Oregon
772,US,Oregon
773,US,California
774,Italy,Tuscany
775,Portugal,Douro
776,Portugal,Terras do Dão
777,Portugal,Alentejano
778,Chile,Leyda Valley
779,France,Southwest France
780,Italy,Tuscany
781,Italy,Tuscany
782,US,Washington
783,Italy,Tuscany
784,US,Washington
785,France,Bordeaux
786,France,Bordeaux
787,France,Bordeaux
788,France,Bordeaux
789,France,Bordeaux
790,US,California
791,Italy,Tuscany
792,US,California
793,US,California
794,US,Washington
795,France,Bordeaux
796,US,Washington
797,US,California
798,US,California
799,US,Washington
800,US,California
801,US,Idaho
802,US,Washington
803,US,California
804,US,California
805,US,California
806,US,New York
807,US,New York
808,US,California
809,France,Bordeaux
810,Italy,Sicily & Sardinia
811,Greece,Santorini
812,US,Oregon
813,US,California
814,Italy,Sicily & Sardinia
815,France,Burgundy
816,France,Alsace
817,France,Burgundy
818,France,Alsace
819,France,Alsace
820,Italy,Sicily & Sardinia
821,US,Oregon
822,US,California
823,US,California
824,Italy,Sicily & Sardinia
825,Australia,South Australia
826,US,California
827,US,California
828,US,California
829,US,California
830,US,California
831,US,California
832,US,California
833,Chile,Peumo
834,Spain,Northern Spain
835,US,California
836,US,California
837,US,California
838,Germany,Mosel
839,US,California
840,US,California
841,Spain,Catalonia
842,US,New York
843,US,California
844,Spain,Catalonia
845,US,California
846,US,New York
847,France,Burgundy
848,France,Loire Valley
849,France,Loire Valley
850,US,California
851,Canada,British Columbia
852,Bulgaria,Thracian Valley
853,France,Burgundy
854,France,Loire Valley
855,US,California
856,Italy,Tuscany
857,France,Rhône Valley
858,Spain,Galicia
859,Spain,Andalucia
860,Italy,Tuscany
861,US,California
862,Italy,Tuscany
863,Italy,Tuscany
864,Spain,Northern Spain
865,Italy,Tuscany
866,Italy,Tuscany
867,Italy,Tuscany
868,Italy,Tuscany
869,US,California
870,US,Washington
871,US,California
872,US,California
873,Chile,Colchagua Valley
874,Italy,Piedmont
875,France,Alsace
876,Italy,Piedmont
877,Italy,Piedmont
878,US,California
879,US,California
880,Italy,Piedmont
881,Italy,Piedmont
882,Portugal,Dão
883,Portugal,Douro
884,France,Alsace
885,US,Washington
886,US,California
887,US,California
888,US,Washington
889,US,California
890,US,Washington
891,US,California
892,Chile,Colchagua Valley
893,US,Washington
894,US,California
895,US,Washington
896,US,California
897,Italy,Italy Other
898,Italy,Piedmont
899,France,Alsace
900,Argentina,Mendoza Province
901,US,California
902,US,California
903,France,Southwest France
904,US,California
905,US,California
906,US,California
907,France,Provence
908,France,Provence
909,France,Southwest France
910,France,Provence
911,France,Provence
912,US,California
913,US,California
914,US,California
915,US,Oregon
916,US,California
917,US,California
918,US,Oregon
919,Spain,Andalucia
920,US,Oregon
921,US,California
922,France,Southwest France
923,US,California
924,Spain,Northern Spain
925,US,California
926,US,California
927,US,Oregon
928,US,California
929,US,California
930,Italy,Tuscany
931,Portugal,Douro
932,Portugal,Terras do Dão
933,Portugal,Alentejano
934,France,Southwest France
935,US,California
936,Chile,Leyda Valley
937,France,Southwest France
938,Chile,Leyda Valley
939,US,California
940,Spain,Catalonia
941,US,California
942,Germany,Baden
943,Chile,Limarí Valley
944,Italy,Lombardy
945,US,California
946,Italy,Tuscany
947,US,Oregon
948,Chile,Colchagua Valley
949,Italy,Tuscany
950,Portugal,Douro
951,Italy,Tuscany
952,US,Oregon
953,US,California
954,Italy,Tuscany
955,Italy,Tuscany
956,US,Oregon
957,Portugal,Douro
958,US,California
959,Greece,Peloponnese
960,Italy,Piedmont
961,US,Oregon
962,Portugal,Douro
963,US,California
964,Spain,Northern Spain
965,Italy,Piedmont
966,Israel,Galilee
967,US,California
968,Germany,Mosel
969,US,California
970,Israel,Galilee
971,Italy,Piedmont
972,Portugal,Alentejano
973,US,California
974,Israel,Galilee
975,US,California
976,US,Oregon
977,Israel,Judean Hills
978,Italy,Piedmont
979,US,California
980,Italy,Piedmont
981,Italy,Piedmont
982,Italy,Piedmont
983,Italy,Piedmont
984,Italy,Piedmont
985,Spain,Northern Spain
986,Italy,Piedmont
987,Australia,Tasmania
988,US,Oregon
989,US,Oregon
990,Italy,Veneto
991,US,California
992,Israel,Galilee
993,Portugal,Vinho Verde
994,Portugal,Vinho Verde
995,Portugal,Tejo
996,Portugal,Beira Atlantico
997,France,Southwest France
998,France,Southwest France
999,Argentina,Mendoza Province
1000,Portugal,Tejo
1001,US,California
1002,US,California
1003,Portugal,Dão
1004,Portugal,Alentejano
1005,Portugal,Bairrada
1006,South Africa,Stellenbosch
1007,Argentina,Mendoza Province
1008,South Africa,Western Cape
1009,France,Rhône Valley
1010,US,California
1011,South Africa,Simonsberg-Paarl
1012,France,Southwest France
1013,France,Southwest France
1014,France,Southwest France
1015,Portugal,Portuguese Table Wine
1016,Portugal,Alentejano
1017,France,Burgundy
1018,US,California
1019,Italy,Veneto
1020,Germany,Rheinhessen
1021,US,Oregon
1022,Italy,Northeastern Italy
1023,US,Oregon
1024,France,Beaujolais
1025,Portugal,Tejo
1026,Portugal,Península de Setúbal
1027,Portugal,Alentejano
1028,US,California
1029,US,California
1030,Portugal,Douro
1031,Portugal,Douro
1032,Germany,Mosel
1033,Portugal,Tejo
1034,France,Bordeaux
1035,France,Beaujolais
1036,Germany,Württemberg
1037,Chile,Colchagua Valley
1038,Chile,Colchagua Valley
1039,Italy,Lombardy
1040,US,Oregon
1041,Chile,Aconcagua Valley
1042,Italy,Tuscany
1043,Portugal,Douro
1044,US,California
1045,Portugal,Tejo
1046,Portugal,Alentejano
1047,Portugal,Alentejano
1048,Portugal,Douro
1049,US,California
1050,Italy,Piedmont
1051,Italy,Piedmont
1052,US,Oregon
1053,US,California
1054,US,Oregon
1055,US,Virginia
1056,US,Virginia
1057,Argentina,Other
1058,US,California
1059,Argentina,Other
1060,Portugal,Dão
1061,Bulgaria,Thracian Valley
1062,US,California
1063,Italy,Piedmont
1064,Argentina,Other
1065,Spain,Northern Spain
1066,Australia,South Australia
1067,US,Virginia
1068,Croatia,North Dalmatia
1069,US,California
1070,France,Bordeaux
1071,Romania,Dealurile Munteniei
1072,US,California
1073,France,Loire Valley
1074,US,California
1075,France,Loire Valley
1076,Italy,Piedmont
1077,US,California
1078,Italy,Piedmont
1079,US,California
1080,US,California
1081,US,California
1082,US,New York
1083,US,Washington
1084,US,Washington
1085,US,New York
1086,Spain,Levante
1087,France,Bordeaux
1088,France,Bordeaux
1089,US,New York
1090,France,Bordeaux
1091,France,Bordeaux
1092,France,Bordeaux
1093,US,Idaho
1094,US,California
1095,US,California
1096,Italy,Tuscany
1097,US,California
1098,US,California
1099,US,New York
1100,US,Washington
1101,France,Bordeaux
1102,US,California
1103,US,Washington
1104,US,California
1105,US,California
1106,US,Washington
1107,US,California
1108,Italy,Tuscany
1109,US,Washington
1110,Spain,Northern Spain
1111,US,California
1112,Spain,Northern Spain
1113,US,California
1114,US,California
1115,Italy,Sicily & Sardinia
1116,France,Burgundy
1117,France,Burgundy
1118,France,Burgundy
1119,US,California
1120,Chile,Cachapoal Valley
1121,Germany,Rheingau
1122,US,California
1123,US,Oregon
1124,France,Alsace
1125,Germany,Rheinhessen
1126,France,Burgundy
1127,US,California
1128,US,California
1129,US,California
1130,US,California
1131,US,Oregon
1132,US,California
1133,US,California
1134,France,Alsace
1135,France,Alsace
1136,France,Alsace
1137,US,Oregon
1138,US,California
1139,Slovenia,Goriska Brda
1140,Italy,Tuscany
1141,Italy,Tuscany
1142,US,California
1143,US,California
1144,US,California
1145,US,California
1146,US,Washington
1147,US,California
1148,Italy,Tuscany
1149,Moldova,Moldova
1150,US,California
1151,US,California
1152,France,Loire Valley
1153,Italy,Tuscany
1154,US,New York
1155,US,Washington
1156,India,Nashik
1157,US,California
1158,US,California
1159,US,California
1160,Italy,Tuscany
1161,Italy,Tuscany
1162,Spain,Northern Spain
1163,Italy,Tuscany
1164,Italy,Tuscany
1165,Italy,Tuscany
1166,US,California
1167,US,California
1168,France,Burgundy
1169,US,New York
1170,US,California
1171,New Zealand,Kumeu
1172,France,Southwest France
1173,France,Southwest France
1174,US,California
1175,US,California
1176,US,California
1177,US,Oregon
1178,US,California
1179,Austria,Burgenland
1180,US,California
1181,Austria,Niederösterreich
1182,US,Washington
1183,Argentina,Mendoza Province
1184,New Zealand,Marlborough
1185,New Zealand,Central Otago
1186,US,California
1187,US,Oregon
1188,US,California
1189,Spain,Northern Spain
1190,Spain,Northern Spain
1191,Spain,Northern Spain
1192,France,Provence
1193,US,California
1194,Italy,Southern Italy
1195,US,California
1196,US,Washington
1197,Austria,Niederösterreich
1198,Austria,Thermenregion
1199,US,California
1200,US,Oregon
1201,US,Oregon
1202,Germany,Mosel
1203,Italy,Piedmont
1204,Italy,Piedmont
1205,Israel,Galilee
1206,Portugal,Lisboa
1207,US,Oregon
1208,Italy,Piedmont
1209,US,California
1210,Germany,Mosel
1211,France,Burgundy
1212,France,Burgundy
1213,US,California
1214,Italy,Piedmont
1215,Italy,Piedmont
1216,Italy,Piedmont
1217,Italy,Piedmont
1218,Italy,Piedmont
1219,Israel,Galilee
1220,US,California
1221,US,California
1222,France,Champagne
1223,Italy,Piedmont
1224,Italy,Piedmont
1225,US,California
1226,US,California
1227,US,Oregon
1228,US,Oregon
1229,US,California
1230,France,Alsace
1231,US,California
1232,US,California
1233,US,California
1234,Portugal,Palmela
1235,France,Alsace
1236,France,Alsace
1237,France,Alsace
1238,France,Alsace
1239,France,Alsace
1240,Portugal,Alentejano
1241,France,Bordeaux
1242,France,Bordeaux
1243,Italy,Piedmont
1244,Italy,Piedmont
1245,US,California
1246,US,California
1247,US,Washington
1248,Portugal,Douro
1249,US,Washington
1250,US,California
1251,Chile,Colchagua Valley
1252,US,California
1253,Portugal,Dão
1254,US,California
1255,US,California
1256,US,California
1257,Portugal,Douro
1258,Italy,Piedmont
1259,France,Bordeaux
1260,Portugal,Tejo
1261,South Africa,Robertson
1262,South Africa,Western Cape
1263,France,Rhône Valley
1264,Argentina,Mendoza Province
1265,South Africa,Western Cape
1266,US,California
1267,France,Burgundy
1268,US,California
1269,France,Southwest France
1270,France,Southwest France
1271,France,Southwest France
1272,US,Washington
1273,US,California
1274,Portugal,Tejo
1275,Portugal,Tejo
1276,US,Washington
1277,Spain,Northern Spain
1278,US,New York
1279,Argentina,Mendoza Province
1280,France,Rhône Valley
1281,US,New York
1282,France,Southwest France
1283,Portugal,Alentejano
1284,Portugal,Alentejano
1285,Portugal,Douro
1286,Italy,Veneto
1287,France,Southwest France
1288,Portugal,Beira Interior
1289,US,California
1290,US,New York
1291,France,Bordeaux
1292,France,Bordeaux
1293,France,Bordeaux
1294,US,Idaho
1295,US,California
1296,US,California
1297,US,Washington
1298,Italy,Tuscany
1299,US,Washington
1300,Italy,Tuscany
1301,US,Washington
1302,Spain,Levante
1303,US,Washington
1304,US,New York
1305,Argentina,Mendoza Province
1306,Argentina,Mendoza Province
1307,Argentina,Mendoza Province
1308,Italy,Tuscany
1309,Spain,Catalonia
1310,US,Idaho
1311,Italy,Tuscany
1312,France,Bordeaux
1313,France,Bordeaux
1314,France,Bordeaux
1315,France,Bordeaux
1316,France,Bordeaux
1317,France,Bordeaux
1318,US,California
1319,US,New York
1320,Spain,Northern Spain
1321,Italy,Tuscany
1322,US,Oregon
1323,France,Southwest France
1324,Portugal,Tejo
1325,France,Southwest France
1326,US,Oregon
1327,France,Southwest France
1328,Germany,Mosel
1329,Spain,Catalonia
1330,Spain,Catalonia
1331,Greece,Peloponnese
1332,US,California
1333,US,California
1334,France,Southwest France
1335,US,California
1336,US,California
1337,US,California
1338,Italy,Tuscany
1339,Italy,Lombardy
1340,Portugal,Port
1341,France,Southwest France
1342,US,Oregon
1343,US,California
1344,US,California
1345,US,California
1346,US,California
1347,US,California
1348,US,Oregon
1349,Chile,Casablanca Valley
1350,France,Southwest France
1351,US,California
1352,Italy,Lombardy
1353,US,California
1354,Germany,Mosel
1355,Chile,Marchigue
1356,US,Oregon
1357,Portugal,Bairrada
1358,France,Burgundy
1359,US,California
1360,France,Burgundy
1361,US,California
1362,US,California
1363,US,California
1364,France,Bordeaux
1365,France,Southwest France
1366,France,Bordeaux
1367,France,Bordeaux
1368,US,California
1369,Portugal,Dão
1370,France,Burgundy
1371,France,Southwest France
1372,France,Southwest France
1373,US,Oregon
1374,Portugal,Alentejano
1375,US,California
1376,France,Burgundy
1377,Italy,Lombardy
1378,Portugal,Vinho Verde
1379,Portugal,Tejo
1380,US,California
1381,Spain,Central Spain
1382,US,Oregon
1383,Argentina,Mendoza Province
1384,France,Bordeaux
1385,US,California
1386,Italy,Piedmont
1387,US,California
1388,Italy,Piedmont
1389,US,Oregon
1390,France,Loire Valley
1391,US,Oregon
1392,Argentina,Mendoza Province
1393,US,California
1394,US,Oregon
1395,US,Oregon
1396,France,Loire Valley
1397,US,California
1398,US,California
1399,Italy,Piedmont
1400,Spain,Northern Spain
1401,Spain,Northern Spain
1402,US,California
1403,US,Oregon
1404,US,California
1405,US,California
1406,Spain,Northern Spain
1407,Italy,Piedmont
1408,US,Oregon
1409,US,California
1410,Italy,Sicily & Sardinia
1411,US,Oregon
1412,Hungary,Tokaji
1413,US,California
1414,US,California
1415,Italy,Southern Italy
1416,US,California
1417,Greece,Santorini
